,Value,Positions,Height,Main position
William Osula,€7.00m,"['Centre-Forward', 'Left Winger']","1,86 m",Centre-Forward
Alexander Isak,€75.00m,"['Centre-Forward', 'Left Winger']","1,92 m",Centre-Forward
Lewis Hall,€22.00m,"['Left-Back', 'Left Midfield', 'Central Midfield']","1,79 m",Left-Back
Darwin Nunez,€65.00m,"['Centre-Forward', 'Left Winger']","1,87 m",Centre-Forward
Cody Gakpo,€55.00m,"['Left Winger', 'Centre-Forward', 'Right Winger']","1,93 m",Left Winger
Alexis Mac Allister,€75.00m,"['Central Midfield', 'Attacking Midfield', 'Defensive Midfield']","1,76 m",Central Midfield
Harvey Elliott,€35.00m,"['Central Midfield', 'Attacking Midfield', 'Right Winger']","1,70 m",Central Midfield
Virgil van Dijk,€30.00m,['Centre-Back'],"1,95 m",Centre-Back
Trent Alexander-Arnold,€70.00m,['Right-Back'],"1,75 m",Right-Back
Andrew Robertson,€30.00m,"['Left-Back', 'Left Midfield']","1,78 m",Left-Back
Konstantinos Tsimikas,€22.00m,['Left-Back'],"1,79 m",Left-Back
Joe Gomez,€28.00m,"['Centre-Back', 'Right-Back', 'Left-Back']","1,88 m",Centre-Back
Conor Bradley,€15.00m,"['Right-Back', 'Right Midfield']","1,81 m",Right-Back
Jarell Quansah,€22.00m,['Centre-Back'],"1,90 m",Centre-Back
Alisson,€28.00m,['Goalkeeper'],"1,93 m",Goalkeeper
Caoimhin Kelleher,€20.00m,['Goalkeeper'],"1,88 m",Goalkeeper
Luis Diaz,€80.00m,"['Left Winger', 'Right Winger', 'Left Midfield']","1,80 m",Left Winger
Vitezslav Jaros,€5.00m,['Goalkeeper'],"1,90 m",Goalkeeper
Ibrahima Konate,€45.00m,['Centre-Back'],"1,94 m",Centre-Back
Ryan Gravenberch,€40.00m,"['Defensive Midfield', 'Central Midfield']","1,90 m",Defensive Midfield
Wataru Endo,€13.00m,"['Defensive Midfield', 'Centre-Back', 'Central Midfield']","1,78 m",Defensive Midfield
Curtis Jones,€35.00m,"['Central Midfield', 'Left Midfield', 'Attacking Midfield']","1,85 m",Central Midfield
