,Value,Positions,Height,Main position
Emerson Palmieri,€12.00m,"['Left-Back', 'Left Midfield']","1,76 m",Left-Back
Łukasz Fabianski,€700k,['Goalkeeper'],"1,90 m",Goalkeeper
Andy Irving,€2.00m,"['Central Midfield', 'Attacking Midfield', 'Defensive Midfield']","1,90 m",Central Midfield
Mohammed Kudus,€50.00m,"['Right Winger', 'Attacking Midfield', 'Left Winger']","1,77 m",Right Winger
Liam Delap,€15.00m,"['Centre-Forward', 'Right Winger']","1,86 m",Centre-Forward
George Hirst,€4.00m,['Centre-Forward'],"1,91 m",Centre-Forward
Kalvin Phillips,€22.00m,"['Defensive Midfield', 'Central Midfield', 'Centre-Back']","1,79 m",Defensive Midfield
Sammie Szmodics,€10.00m,"['Attacking Midfield', 'Left Winger', 'Left Midfield']","1,68 m",Attacking Midfield
Jens Cajuste,€10.00m,"['Defensive Midfield', 'Central Midfield']","1,88 m",Defensive Midfield
Conor Chaplin,€7.00m,"['Second Striker', 'Centre-Forward', 'Left Winger']","1,68 m",Second Striker
Jack Taylor,€1.80m,"['Central Midfield', 'Defensive Midfield', 'Right Midfield']","1,85 m",Central Midfield
Massimo Luongo,€500k,"['Central Midfield', 'Defensive Midfield']","1,76 m",Central Midfield
Wes Burns,€2.00m,"['Right Winger', 'Right Midfield', 'Right-Back']","1,73 m",Right Winger
Dara O'Shea,€10.00m,"['Centre-Back', 'Right-Back']","1,89 m",Centre-Back
Harry Clarke,€5.00m,"['Right-Back', 'Centre-Back', 'Left-Back']","1,80 m",Right-Back
Luke Woolfenden,€2.00m,"['Centre-Back', 'Right-Back']","1,93 m",Centre-Back
Arijanet Muric,€7.00m,['Goalkeeper'],"1,98 m",Goalkeeper
Christian Walton,€900k,['Goalkeeper'],"1,95 m",Goalkeeper
Cameron Burgess,€1.50m,"['Centre-Back', 'Left-Back']","1,94 m",Centre-Back
Nathan Broadhead,€5.00m,"['Left Winger', 'Right Winger', 'Centre-Forward']","1,78 m",Left Winger
Richarlison,€35.00m,"['Centre-Forward', 'Left Winger', 'Right Winger']","1,84 m",Centre-Forward
Dominic Solanke,€45.00m,['Centre-Forward'],"1,86 m",Centre-Forward
Brennan Johnson,€48.00m,"['Right Winger', 'Left Winger', 'Centre-Forward']","1,86 m",Right Winger
Pape Matar Sarr,€45.00m,"['Central Midfield', 'Defensive Midfield']","1,84 m",Central Midfield
Dejan Kulusevski,€55.00m,"['Attacking Midfield', 'Right Winger', 'Second Striker']","1,86 m",Attacking Midfield
Yves Bissouma,€35.00m,"['Defensive Midfield', 'Central Midfield']","1,82 m",Defensive Midfield
Rodrigo Bentancur,€35.00m,"['Defensive Midfield', 'Central Midfield']","1,87 m",Defensive Midfield
Lucas Bergvall,€12.00m,"['Central Midfield', 'Attacking Midfield']","1,87 m",Central Midfield
Wilson Odobert,€18.00m,"['Right Winger', 'Left Winger', 'Attacking Midfield']","1,82 m",Right Winger
Ben Davies,€10.00m,"['Centre-Back', 'Left-Back']","1,81 m",Centre-Back
Djed Spence,€8.00m,"['Right-Back', 'Right Midfield', 'Left-Back']","1,84 m",Right-Back
Guglielmo Vicario,€35.00m,['Goalkeeper'],"1,94 m",Goalkeeper
Fraser Forster,€1.20m,['Goalkeeper'],"2,01 m",Goalkeeper
Cristian Romero,€65.00m,['Centre-Back'],"1,85 m",Centre-Back
Timo Werner,€17.00m,"['Left Winger', 'Centre-Forward', 'Right Winger']","1,80 m",Left Winger
Pedro Porro,€45.00m,"['Right-Back', 'Right Midfield']","1,73 m",Right-Back
Destiny Udogie,€45.00m,"['Left-Back', 'Left Midfield']","1,88 m",Left-Back
Heung-min Son,€45.00m,"['Left Winger', 'Centre-Forward', 'Second Striker']","1,84 m",Left Winger
Edward Nketiah,€30.00m,"['Centre-Forward', 'Right Winger', 'Left Winger']","1,75 m",Centre-Forward
Daichi Kamada,€18.00m,"['Attacking Midfield', 'Second Striker', 'Central Midfield']","1,84 m",Attacking Midfield
Adam Wharton,€30.00m,"['Defensive Midfield', 'Attacking Midfield', 'Central Midfield']","1,82 m",Defensive Midfield
Tyrick Mitchell,€25.00m,"['Left-Back', 'Left Midfield']","1,81 m",Left-Back
Jeffrey Schlupp,€7.00m,"['Left Midfield', 'Left-Back', 'Central Midfield']","1,78 m",Left Midfield
Will Hughes,€9.00m,"['Central Midfield', 'Left Midfield', 'Right Midfield']","1,85 m",Central Midfield
Justin Devenny,€150k,"['Central Midfield', 'Left Midfield', 'Right Midfield']","1,84 m",Central Midfield
Daniel Munoz,€23.00m,"['Right-Back', 'Right Midfield', 'Centre-Back']","1,81 m",Right-Back
Marc Guehi,€45.00m,['Centre-Back'],"1,82 m",Centre-Back
Maxence Lacroix,€20.00m,['Centre-Back'],"1,90 m",Centre-Back
Caleb Kporha,,"['Right-Back', 'Right Midfield', 'Left-Back']",,Right-Back
Chadi Riad,€15.00m,['Centre-Back'],"1,87 m",Centre-Back
Cheick Doucoure,€35.00m,['Defensive Midfield'],"1,80 m",Defensive Midfield
Ismaila Sarr,€18.00m,"['Right Winger', 'Centre-Forward', 'Left Winger']","1,85 m",Right Winger
Chris Richards,€12.00m,"['Centre-Back', 'Right-Back']","1,88 m",Centre-Back
Bruno Fernandes,€65.00m,"['Attacking Midfield', 'Second Striker', 'Central Midfield']","1,79 m",Attacking Midfield
Marcus Rashford,€60.00m,"['Left Winger', 'Centre-Forward', 'Right Winger']","1,85 m",Left Winger
Alejandro Garnacho,€50.00m,"['Left Winger', 'Right Winger', 'Attacking Midfield']","1,80 m",Left Winger
Antony,€20.00m,"['Right Winger', 'Left Winger']","1,72 m",Right Winger
Mason Mount,€35.00m,"['Attacking Midfield', 'Central Midfield', 'Left Midfield']","1,81 m",Attacking Midfield
Manuel Ugarte,€50.00m,"['Defensive Midfield', 'Central Midfield']","1,82 m",Defensive Midfield
Luke Shaw,€28.00m,"['Left-Back', 'Centre-Back']","1,78 m",Left-Back
Victor Lindelof,€15.00m,"['Centre-Back', 'Right-Back', 'Left-Back']","1,87 m",Centre-Back
Tyrell Malacia,€18.00m,['Left-Back'],"1,69 m",Left-Back
Jonny Evans,€2.00m,"['Centre-Back', 'Left-Back']","1,88 m",Centre-Back
Andre Onana,€35.00m,['Goalkeeper'],"1,90 m",Goalkeeper
Casemiro,€15.00m,"['Defensive Midfield', 'Centre-Back']","1,85 m",Defensive Midfield
Amad Diallo,€22.00m,"['Right Winger', 'Left Winger', 'Right Midfield']","1,73 m",Right Winger
Rasmus Højlund,€65.00m,['Centre-Forward'],"1,91 m",Centre-Forward
Leny Yoro,€55.00m,['Centre-Back'],"1,90 m",Centre-Back
