Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches,Team,Playing Time.3
Martin Ødegaard,no NOR,MF,25.0,,5,425.0,4.7,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.9,1.7,14.0,43.0,22.0,0.0,0.42,0.42,0.0,0.42,0.17,0.19,0.36,0.17,0.36,Matches,Arsenal,5.0
Mikel Merino,es ESP,"MF,FW",28.0,,4,370.0,4.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.5,1.5,2.0,21.0,21.0,0.24,0.0,0.24,0.24,0.24,0.26,0.11,0.37,0.26,0.37,Matches,Arsenal,6.0
Jorginho,it ITA,MF,32.0,,3,200.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2,0.2,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,Matches,Arsenal,4.0
Gabriel Jesus,br BRA,FW,27.0,,2,217.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.5,1.2,7.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.5,0.3,0.5,Matches,Arsenal,10.0
Raheem Sterling,eng ENG,"MF,FW",29.0,,2,131.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.5,9.0,3.0,15.0,0.0,0.69,0.69,0.0,0.69,0.23,0.08,0.31,0.23,0.31,Matches,Arsenal,5.0
Oleksandr Zinchenko,ua UKR,"DF,MF",27.0,,1,133.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,4.0
Jakub Kiwior,pl POL,DF,24.0,,0,102.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,5.0
Ethan Nwaneri,eng ENG,"MF,FW",17.0,,0,65.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,5.0,4.0,6.0,1.38,0.0,1.38,1.38,1.38,0.22,0.24,0.45,0.22,0.45,Matches,Arsenal,6.0
Myles Lewis-Skelly,eng ENG,DF,18.0,,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,2.0
Takehiro Tomiyasu,jp JPN,DF,26.0,,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37,Matches,Arsenal,1.0
