Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Playing Time
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
John Stones,eng ENG,"DF,MF",30-186,7.0,3,286.0,3.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,8.0,11.0,1.0,0.63,0.0,0.63,0.63,0.63,0.14,0.0,0.14,0.14,0.14,Matches,Manchester-City,
Nathan Aké,nl NED,DF,29-286,3.0,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Manchester-City,
Jahmai Simpson-Pusey,eng ENG,DF,19-026,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester-City,
Rodri,es ESP,MF,28-161,2.0,1,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,Manchester-City,
James Mcatee,eng ENG,FW,22-043,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester-City,
Scott Carson,eng ENG,GK,39-088,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City,
Issa Kaboré,bf BFA,"DF,MF",23-202,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City,
Stefan Ortega,de GER,GK,32-024,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City,
Nico O’Reilly,eng ENG,FW,19-254,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City,
Josh Wilson-Esbrand,eng ENG,DF,21-340,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City,
Jacob Wright,eng ENG,MF,19-070,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City,
Squad Total,,,27.5,12.0,132,1080.0,12.0,22.0,15.0,37.0,21.0,1.0,1.0,27.0,0.0,24.1,23.3,20.5,43.8,443.0,711.0,705.0,1.83,1.25,3.08,1.75,3.0,2.01,1.71,3.72,1.95,3.65,,Manchester-City,
Opponent Total,,,26.7,12.0,132,1080.0,12.0,16.0,13.0,29.0,15.0,1.0,1.0,33.0,1.0,15.6,14.8,12.8,27.5,164.0,252.0,250.0,1.33,1.08,2.42,1.25,2.33,1.3,1.06,2.36,1.23,2.29,,Manchester-City,
Robert Sánchez,es ESP,GK,27-012,,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,12.0
Levi Colwill,eng ENG,DF,21-278,,12,1079.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.6,0.8,3.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches,Chelsea,12.0
Moisés Caicedo,ec ECU,MF,23-028,,12,1055.0,11.7,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,1.6,1.9,10.0,59.0,15.0,0.09,0.17,0.26,0.09,0.26,0.03,0.14,0.17,0.03,0.17,Matches,Chelsea,12.0
Cole Palmer,eng ENG,"MF,FW",22-208,,12,1045.0,11.6,7.0,5.0,12.0,6.0,1.0,1.0,3.0,0.0,6.1,5.3,4.9,10.2,39.0,75.0,53.0,0.6,0.43,1.03,0.52,0.95,0.52,0.42,0.95,0.45,0.88,Matches,Chelsea,12.0
Nicolas Jackson,sn SEN,FW,23-163,,12,955.0,10.6,7.0,3.0,10.0,7.0,0.0,0.0,4.0,0.0,6.6,6.6,1.7,8.4,21.0,15.0,40.0,0.66,0.28,0.94,0.66,0.94,0.63,0.16,0.79,0.63,0.79,Matches,Chelsea,12.0
Wesley Fofana,fr FRA,DF,23-349,,11,956.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,0.4,0.8,14.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches,Chelsea,11.0
Noni Madueke,eng ENG,FW,22-265,,11,838.0,9.3,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,3.3,3.3,1.8,5.0,60.0,33.0,90.0,0.43,0.0,0.43,0.43,0.43,0.35,0.19,0.54,0.35,0.54,Matches,Chelsea,11.0
Marc Cucurella,es ESP,DF,26-131,,9,828.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.4,0.4,11.0,25.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Chelsea,11.0
Malo Gusto,fr FRA,DF,21-195,,9,726.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,0.2,1.3,13.0,40.0,34.0,0.0,0.0,0.0,0.0,0.0,0.14,0.02,0.16,0.14,0.16,Matches,Chelsea,9.0
Enzo Fernández,ar ARG,MF,23-318,,7,702.0,7.8,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,1.4,2.7,8.0,41.0,24.0,0.13,0.26,0.38,0.13,0.38,0.17,0.18,0.35,0.17,0.35,Matches,Chelsea,11.0
Pedro Neto,pt POR,FW,24-266,,5,558.0,6.2,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.4,0.4,2.2,2.6,36.0,9.0,63.0,0.16,0.32,0.48,0.16,0.48,0.07,0.36,0.43,0.07,0.43,Matches,Chelsea,11.0
Roméo Lavia,be BEL,MF,20-329,,5,347.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6,0.6,2.0,11.0,5.0,0.0,0.26,0.26,0.0,0.26,0.0,0.16,0.16,0.0,0.16,Matches,Chelsea,7.0
Jadon Sancho,eng ENG,FW,24-250,,4,311.0,3.5,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.1,1.2,17.0,17.0,40.0,0.0,0.87,0.87,0.0,0.87,0.02,0.32,0.34,0.02,0.34,Matches,Chelsea,6.0
Reece James,eng ENG,DF,24-358,,3,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,4.0
Tosin Adarabioyo,eng ENG,DF,27-067,,2,173.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Chelsea,4.0
João Félix,pt POR,"MF,FW",25-020,,1,202.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.1,0.9,10.0,11.0,16.0,0.45,0.0,0.45,0.45,0.45,0.36,0.03,0.39,0.36,0.39,Matches,Chelsea,6.0
Christopher Nkunku,fr FRA,FW,27-016,,1,172.0,1.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,0.3,2.1,5.0,8.0,18.0,0.52,0.0,0.52,0.52,0.52,0.92,0.15,1.07,0.92,1.07,Matches,Chelsea,11.0
Renato Veiga,pt POR,"DF,MF",21-124,,1,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Chelsea,5.0
Mykhailo Mudryk,ua UKR,FW,23-330,,1,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.2,7.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.15,0.58,0.73,0.15,0.73,Matches,Chelsea,7.0
Benoît Badiashile,fr FRA,DF,23-249,,1,128.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,2.0
Axel Disasi,fr FRA,DF,26-264,,1,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,2.0
Kiernan Dewsbury-Hall,eng ENG,MF,26-085,,0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.18,Matches,Chelsea,4.0
Marc Guiu,es ESP,FW,18-331,,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,1.0
Marcus Bettinelli,eng ENG,GK,32-190,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,0.0
Cesare Casadei,it ITA,MF,21-325,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,0.0
Filip Jørgensen,dk DEN,GK,22-228,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,0.0
Squad Total,,,23.8,,132,1080.0,12.0,23.0,18.0,41.0,22.0,1.0,1.0,45.0,0.0,22.4,21.6,18.1,39.7,267.0,457.0,450.0,1.92,1.5,3.42,1.83,3.33,1.86,1.51,3.38,1.8,3.31,,Chelsea,12.0
Opponent Total,,,26.8,,132,1080.0,12.0,14.0,8.0,22.0,11.0,3.0,4.0,41.0,1.0,16.2,13.0,10.0,23.0,203.0,414.0,410.0,1.17,0.67,1.83,0.92,1.58,1.35,0.83,2.18,1.08,1.92,,Chelsea,12.0
David Raya,es ESP,GK,29-076,,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,12.0
Gabriel Magalhães,br BRA,DF,26-347,,12,1043.0,11.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.5,1.5,0.4,1.9,4.0,36.0,7.0,0.17,0.0,0.17,0.17,0.17,0.13,0.03,0.16,0.13,0.16,Matches,Arsenal,12.0
Thomas Partey,gh GHA,"MF,DF",31-170,,11,1017.0,11.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.6,0.6,0.6,1.2,5.0,69.0,8.0,0.18,0.0,0.18,0.18,0.18,0.05,0.05,0.11,0.05,0.11,Matches,Arsenal,12.0
Kai Havertz,de GER,FW,25-172,,11,990.0,11.0,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,4.5,4.5,1.1,5.7,20.0,33.0,60.0,0.36,0.09,0.45,0.36,0.45,0.41,0.1,0.52,0.41,0.52,Matches,Arsenal,11.0
William Saliba,fr FRA,DF,23-251,,11,929.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.5,0.5,5.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Arsenal,11.0
Bukayo Saka,eng ENG,"MF,FW",23-086,,11,902.0,10.0,4.0,8.0,12.0,4.0,0.0,0.0,2.0,0.0,2.8,2.8,4.1,6.9,51.0,40.0,127.0,0.4,0.8,1.2,0.4,1.2,0.28,0.41,0.69,0.28,0.69,Matches,Arsenal,11.0
Declan Rice,eng ENG,MF,25-321,,10,832.0,9.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.7,0.7,1.4,2.1,24.0,60.0,31.0,0.0,0.11,0.11,0.0,0.11,0.08,0.15,0.23,0.08,0.23,Matches,Arsenal,10.0
Jurriën Timber,nl NED,DF,23-166,,9,770.0,8.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.6,1.0,13.0,36.0,26.0,0.0,0.12,0.12,0.0,0.12,0.05,0.07,0.12,0.05,0.12,Matches,Arsenal,10.0
Gabriel Martinelli,br BRA,"MF,FW",23-165,,8,682.0,7.6,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,2.1,2.1,1.7,3.8,39.0,15.0,89.0,0.4,0.26,0.66,0.4,0.66,0.27,0.23,0.5,0.27,0.5,Matches,Arsenal,11.0
Leandro Trossard,be BEL,FW,29-362,,8,670.0,7.4,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.2,2.2,0.9,3.1,21.0,34.0,39.0,0.27,0.0,0.27,0.27,0.27,0.29,0.12,0.41,0.29,0.41,Matches,Arsenal,12.0
Ben White,eng ENG,DF,27-053,,7,695.0,7.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.6,4.0,30.0,15.0,0.0,0.13,0.13,0.0,0.13,0.02,0.06,0.07,0.02,0.07,Matches,Arsenal,9.0
Riccardo Calafiori,it ITA,DF,22-195,,5,452.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.6,5.0,19.0,10.0,0.2,0.0,0.2,0.2,0.2,0.1,0.02,0.12,0.1,0.12,Matches,Arsenal,7.0
Martin Ødegaard,no NOR,MF,25-349,,5,425.0,4.7,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.9,1.7,14.0,43.0,22.0,0.0,0.42,0.42,0.0,0.42,0.17,0.19,0.36,0.17,0.36,Matches,Arsenal,5.0
Mikel Merino,es ESP,"MF,FW",28-161,,4,370.0,4.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.5,1.5,2.0,21.0,21.0,0.24,0.0,0.24,0.24,0.24,0.26,0.11,0.37,0.26,0.37,Matches,Arsenal,6.0
Jorginho,it ITA,MF,32-346,,3,200.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2,0.2,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,Matches,Arsenal,4.0
Gabriel Jesus,br BRA,FW,27-241,,2,217.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.5,1.2,7.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.5,0.3,0.5,Matches,Arsenal,10.0
Raheem Sterling,eng ENG,"MF,FW",29-358,,2,131.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.5,9.0,3.0,15.0,0.0,0.69,0.69,0.0,0.69,0.23,0.08,0.31,0.23,0.31,Matches,Arsenal,5.0
Oleksandr Zinchenko,ua UKR,"DF,MF",27-351,,1,133.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,4.0
Jakub Kiwior,pl POL,DF,24-289,,0,102.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,5.0
Ethan Nwaneri,eng ENG,"MF,FW",17-254,,0,65.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,5.0,4.0,6.0,1.38,0.0,1.38,1.38,1.38,0.22,0.24,0.45,0.22,0.45,Matches,Arsenal,6.0
Myles Lewis-Skelly,eng ENG,DF,18-065,,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,2.0
Takehiro Tomiyasu,jp JPN,DF,26-025,,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37,Matches,Arsenal,1.0
Reiss Nelson,eng ENG,FW,24-356,,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,1.0
Nathan Butler-Oyedeji,eng ENG,FW,21-331,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Ayden Heaven,eng ENG,MF,18-069,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Ismeal Kabia,eng ENG,MF,18-356,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Maldini Kacurri,al ALB,DF,19-057,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Neto,br BRA,GK,35-134,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Josh Nichols,eng ENG,DF,18-127,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Eddie Nketiah,eng ENG,FW,25-184,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Salah Oulad M'Hand,nl NED,MF,21-102,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Aaron Ramsdale,eng ENG,GK,26-200,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Tommy Setford,eng ENG,GK,18-262,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Squad Total,,,26.5,,132,1080.0,12.0,20.0,17.0,37.0,20.0,0.0,0.0,33.0,3.0,18.2,18.2,14.0,32.2,232.0,516.0,508.0,1.67,1.42,3.08,1.67,3.08,1.52,1.17,2.68,1.52,2.68,,Arsenal,12.0
Opponent Total,,,26.3,,132,1080.0,12.0,12.0,9.0,21.0,11.0,1.0,1.0,33.0,0.0,12.3,11.5,8.4,19.9,249.0,368.0,366.0,1.0,0.75,1.75,0.92,1.67,1.02,0.7,1.72,0.96,1.65,,Arsenal,12.0
Guglielmo Vicario,it ITA,GK,28-054,12.0,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur,
Pedro Porro,es ESP,DF,25-078,12.0,12,1076.0,12.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.3,2.3,35.0,68.0,45.0,0.17,0.08,0.25,0.17,0.25,0.08,0.11,0.2,0.08,0.2,Matches,Tottenham-Hotspur,
Destiny Udogie,it ITA,DF,22-002,12.0,12,1004.0,11.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.2,1.5,29.0,67.0,61.0,0.0,0.09,0.09,0.0,0.09,0.03,0.11,0.14,0.03,0.14,Matches,Tottenham-Hotspur,
Cristian Romero,ar ARG,DF,26-217,11.0,11,960.0,10.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.5,1.6,10.0,48.0,2.0,0.09,0.0,0.09,0.09,0.09,0.1,0.05,0.15,0.1,0.15,Matches,Tottenham-Hotspur,
Dejan Kulusevski,se SWE,"MF,FW",24-219,12.0,11,949.0,10.5,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,3.6,5.1,47.0,56.0,82.0,0.19,0.28,0.47,0.19,0.47,0.14,0.34,0.48,0.14,0.48,Matches,Tottenham-Hotspur,
Brennan Johnson,wls WAL,FW,23-191,12.0,10,894.0,9.9,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,6.3,6.3,0.7,7.0,31.0,28.0,100.0,0.5,0.0,0.5,0.5,0.5,0.64,0.07,0.7,0.64,0.7,Matches,Tottenham-Hotspur,
Dominic Solanke,eng ENG,FW,27-077,10.0,10,887.0,9.9,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,5.6,5.6,1.2,6.8,17.0,22.0,45.0,0.41,0.2,0.61,0.41,0.61,0.57,0.12,0.69,0.57,0.69,Matches,Tottenham-Hotspur,
James Maddison,eng ENG,MF,28-007,12.0,10,774.0,8.6,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,3.2,3.2,1.9,5.0,19.0,71.0,44.0,0.58,0.35,0.93,0.58,0.93,0.37,0.22,0.59,0.37,0.59,Matches,Tottenham-Hotspur,
Son Heung-min,kr KOR,FW,32-145,9.0,9,726.0,8.1,3.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,1.9,1.9,3.3,5.2,38.0,52.0,113.0,0.37,0.5,0.87,0.37,0.87,0.24,0.41,0.65,0.24,0.65,Matches,Tottenham-Hotspur,
Micky van de Ven,nl NED,DF,23-225,8.0,8,710.0,7.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.2,1.4,8.0,42.0,1.0,0.0,0.25,0.25,0.0,0.25,0.03,0.15,0.18,0.03,0.18,Matches,Tottenham-Hotspur,
Rodrigo Bentancur,uy URU,MF,27-158,10.0,7,535.0,5.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,0.1,0.8,5.0,40.0,3.0,0.17,0.0,0.17,0.17,0.17,0.11,0.01,0.13,0.11,0.13,Matches,Tottenham-Hotspur,
Pape Matar Sarr,sn SEN,MF,22-077,12.0,5,534.0,5.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,1.2,1.9,10.0,38.0,21.0,0.0,0.34,0.34,0.0,0.34,0.12,0.2,0.32,0.12,0.32,Matches,Tottenham-Hotspur,
Yves Bissouma,ml MLI,MF,28-092,9.0,5,491.0,5.5,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.3,0.3,0.2,0.5,9.0,32.0,0.0,0.37,0.0,0.37,0.37,0.37,0.05,0.04,0.09,0.05,0.09,Matches,Tottenham-Hotspur,
Radu Drăgușin,ro ROU,DF,22-301,5.0,4,370.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur,
Timo Werner,de GER,"FW,MF",28-269,9.0,2,270.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.1,2.1,28.0,17.0,54.0,0.0,0.67,0.67,0.0,0.67,0.31,0.37,0.69,0.31,0.69,Matches,Tottenham-Hotspur,
Wilson Odobert,fr FRA,FW,20-002,3.0,2,162.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,13.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.23,0.03,0.27,0.23,0.27,Matches,Tottenham-Hotspur,
Ben Davies,wls WAL,DF,31-220,2.0,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur,
Mikey Moore,eng ENG,FW,17-111,4.0,1,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Tottenham-Hotspur,
Richarlison,br BRA,FW,27-204,5.0,0,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.8,1.0,4.0,5.0,12.0,0.0,1.0,1.0,0.0,1.0,0.19,0.76,0.95,0.19,0.95,Matches,Tottenham-Hotspur,
Djed Spence,eng ENG,DF,24-113,4.0,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur,
Lucas Bergvall,se SWE,"MF,FW",18-302,6.0,0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.14,0.33,0.47,0.14,0.47,Matches,Tottenham-Hotspur,
Archie Gray,eng ENG,"MF,DF",18-263,5.0,0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur,
Brandon Austin,eng ENG,GK,25-327,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur,
Alfie Devine,eng ENG,MF,20-121,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur,
Fraser Forster,eng ENG,GK,36-258,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur,
Malachi Hardy,eng ENG,DF,16-265,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur,
Will Lankshear,eng ENG,FW,19-224,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur,
Callum Olusesi,eng ENG,MF,17-318,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur,
Squad Total,,,25.8,12.0,132,1080.0,12.0,25.0,21.0,46.0,25.0,0.0,0.0,28.0,0.0,23.8,23.8,18.2,42.1,315.0,627.0,623.0,2.08,1.75,3.83,2.08,3.83,1.99,1.52,3.51,1.99,3.51,,Tottenham-Hotspur,
