Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Playing Time
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
Joe Gomez,eng ENG,DF,27-191,3.0,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.47,0.47,0.47,Matches,Liverpool,
Wataru Endo,jp JPN,MF,31-295,6.0,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,Liverpool,
Federico Chiesa,it ITA,FW,27-036,1.0,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.76,0.76,0.76,Matches,Liverpool,
Vitezslav Jaros,cz CZE,GK,23-130,1.0,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,
Harvey Elliott,eng ENG,FW,21-240,1.0,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,
Harvey Davies,eng ENG,GK,21-088,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool,
Tyler Morton,eng ENG,MF,22-030,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool,
Squad Total,,,27.4,12.0,132,1080.0,12.0,24.0,18.0,42.0,21.0,3.0,3.0,25.0,0.0,23.2,20.9,16.9,37.8,248.0,527.0,520.0,2.0,1.5,3.5,1.75,3.25,1.93,1.41,3.34,1.74,3.15,,Liverpool,
Opponent Total,,,26.3,12.0,132,1080.0,12.0,8.0,6.0,14.0,8.0,0.0,1.0,36.0,0.0,10.6,9.6,7.9,17.5,180.0,374.0,368.0,0.67,0.5,1.17,0.67,1.17,0.88,0.66,1.54,0.8,1.46,,Liverpool,
Danny Welbeck,eng ENG,FW,34-004,13.0,13,1092.0,12.1,6.0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,5.3,5.3,0.5,5.8,9.0,28.0,45.0,0.49,0.16,0.66,0.49,0.66,0.44,0.04,0.48,0.44,0.48,Matches,Brighton-and-Hove-Albion,
Kaoru Mitoma,jp JPN,"FW,MF",27-194,13.0,12,1095.0,12.2,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,3.6,3.6,2.8,6.3,68.0,42.0,136.0,0.25,0.16,0.41,0.25,0.41,0.29,0.23,0.52,0.29,0.52,Matches,Brighton-and-Hove-Albion,
Bart Verbruggen,nl NED,GK,22-104,11.0,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton-and-Hove-Albion,
Joël Veltman,nl NED,DF,32-320,11.0,11,956.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.3,19.0,34.0,18.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,Brighton-and-Hove-Albion,
Jan Paul van Hecke,nl NED,DF,24-175,11.0,10,909.0,10.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.5,0.7,12.0,75.0,3.0,0.0,0.1,0.1,0.0,0.1,0.02,0.05,0.07,0.02,0.07,Matches,Brighton-and-Hove-Albion,
Jack Hinshelwood,eng ENG,"MF,DF",19-233,10.0,10,840.0,9.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,0.3,1.0,10.0,31.0,27.0,0.11,0.0,0.11,0.11,0.11,0.08,0.03,0.11,0.08,0.11,Matches,Brighton-and-Hove-Albion,
Georginio Rutter,fr FRA,"FW,MF",22-224,12.0,10,753.0,8.4,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,2.6,2.6,1.3,3.9,19.0,37.0,46.0,0.24,0.24,0.48,0.24,0.48,0.31,0.16,0.47,0.31,0.47,Matches,Brighton-and-Hove-Albion,
Lewis Dunk,eng ENG,DF,33-009,9.0,8,724.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.4,0.8,8.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.1,0.04,0.1,Matches,Brighton-and-Hove-Albion,
Carlos Baleba,cm CMR,MF,20-332,10.0,8,675.0,7.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.9,0.9,0.5,1.4,11.0,42.0,5.0,0.13,0.13,0.27,0.13,0.27,0.12,0.07,0.19,0.12,0.19,Matches,Brighton-and-Hove-Albion,
Pervis Estupiñán,ec ECU,DF,26-314,10.0,7,704.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.1,1.3,19.0,40.0,48.0,0.0,0.0,0.0,0.0,0.0,0.03,0.14,0.17,0.03,0.17,Matches,Brighton-and-Hove-Albion,
Yasin Ayari,se SWE,MF,21-055,11.0,7,656.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.8,1.5,11.0,28.0,31.0,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.21,0.09,0.21,Matches,Brighton-and-Hove-Albion,
Igor,br BRA,DF,26-297,8.0,6,656.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2,0.2,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,Brighton-and-Hove-Albion,
João Pedro,br BRA,"MF,FW",23-065,7.0,5,441.0,4.9,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,1.7,1.7,1.3,3.1,19.0,23.0,26.0,0.82,0.41,1.22,0.82,1.22,0.36,0.27,0.63,0.36,0.63,Matches,Brighton-and-Hove-Albion,
Yankuba Minteh,gm GAM,"FW,MF",20-131,8.0,5,409.0,4.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,1.6,2.4,18.0,13.0,56.0,0.22,0.22,0.44,0.22,0.44,0.17,0.36,0.53,0.17,0.53,Matches,Brighton-and-Hove-Albion,
Ferdi Kadioglu,tr TUR,"DF,MF",25-054,6.0,5,385.0,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.2,0.6,1.0,15.0,27.0,0.23,0.0,0.23,0.23,0.23,0.1,0.04,0.14,0.1,0.14,Matches,Brighton-and-Hove-Albion,
James Milner,eng ENG,MF,38-331,3.0,3,169.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.21,0.09,0.21,Matches,Brighton-and-Hove-Albion,
